ProductID,Name,CategoryID,Price,Description,StockLevel,SupplierID
7174,Headphones nK-068,1,223.3,This Headphones features noise-cancellation technology and high-fidelity sound for an exceptional audio experience.,135,44
6687,Fitness Tracker EU-265,4,805.97,"An essential electronic device for modern needs, this Fitness blends style with functionality.",13,34
3246,VR Headset wx-727,5,1464.29,"An essential electronic device for modern needs, this VR blends style with functionality.",385,33
8076,Drone pb-485,8,655.6,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",205,26
3952,Tablet Db-282,5,790.0,This Tablet combines the functionality of a computer with the portability of a smartphone.,233,25
584,Camera dH-718,1,1194.22,This Camera captures professional-quality photos and videos with its advanced sensors and intuitive controls.,161,14
3962,VR Headset Fh-671,2,582.1,"An essential electronic device for modern needs, this VR blends style with functionality.",320,96
8762,TV oG-535,5,1070.52,This TV provides an immersive viewing experience with its ultra-high definition resolution and smart connectivity.,86,1
6832,Headphones YY-159,4,1094.28,This Headphones features noise-cancellation technology and high-fidelity sound for an exceptional audio experience.,425,73
5704,Keyboard rd-688,7,590.77,This Keyboard enhances your typing with responsive keys and customizable macros.,12,86
4766,Laptop LW-185,7,143.42,"This Laptop offers unparalleled performance with its high-speed processor, robust memory, and vivid graphics.",245,94
9436,Video Camera Co-014,3,344.19,"An essential electronic device for modern needs, this Video blends style with functionality.",417,34
8746,Mouse jF-512,2,236.28,This Mouse provides precision and comfort for all your computing needs.,77,39
6970,E-Reader gw-326,2,1322.29,This E-Reader gives you access to thousands of books in a lightweight and portable device.,147,47
2949,Fitness Tracker Ho-833,6,1392.35,"An essential electronic device for modern needs, this Fitness blends style with functionality.",26,67
4500,Camera aL-387,1,748.89,This Camera captures professional-quality photos and videos with its advanced sensors and intuitive controls.,341,1
2226,Camera Vf-791,4,1315.98,This Camera captures professional-quality photos and videos with its advanced sensors and intuitive controls.,345,22
8188,Drone Tw-359,3,267.66,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",375,95
485,Laptop Ac-682,4,333.43,"This Laptop offers unparalleled performance with its high-speed processor, robust memory, and vivid graphics.",266,55
2579,Tablet NP-141,2,1152.56,This Tablet combines the functionality of a computer with the portability of a smartphone.,62,15
7550,Laptop Fm-600,7,211.52,"This Laptop offers unparalleled performance with its high-speed processor, robust memory, and vivid graphics.",314,68
4339,Game Console Jh-447,1,176.89,"An essential electronic device for modern needs, this Game blends style with functionality.",276,21
3090,VR Headset EE-510,2,130.39,"An essential electronic device for modern needs, this VR blends style with functionality.",30,87
793,Laptop dX-531,1,1396.95,"This Laptop offers unparalleled performance with its high-speed processor, robust memory, and vivid graphics.",107,72
8862,Fitness Tracker sZ-857,1,219.82,"An essential electronic device for modern needs, this Fitness blends style with functionality.",111,15
4969,Drone MT-019,4,889.71,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",483,78
7774,Portable Speaker vW-804,2,1078.55,"An essential electronic device for modern needs, this Portable blends style with functionality.",396,49
2427,Keyboard QX-324,7,1322.63,This Keyboard enhances your typing with responsive keys and customizable macros.,268,26
6766,Video Camera DR-254,2,1327.85,"An essential electronic device for modern needs, this Video blends style with functionality.",498,25
6070,VR Headset It-642,8,1154.63,"An essential electronic device for modern needs, this VR blends style with functionality.",68,68
1756,Mouse SL-773,7,705.37,This Mouse provides precision and comfort for all your computing needs.,286,73
1512,Microphone yg-963,3,950.25,"This Microphone captures clear and crisp audio, ideal for podcasting and recording.",334,91
7883,Drone ZH-309,3,1179.77,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",217,86
1871,Portable Speaker Kw-718,4,966.19,"An essential electronic device for modern needs, this Portable blends style with functionality.",200,66
217,Headphones CU-236,1,101.36,This Headphones features noise-cancellation technology and high-fidelity sound for an exceptional audio experience.,194,18
3966,Game Console gK-556,7,1442.35,"An essential electronic device for modern needs, this Game blends style with functionality.",186,82
8463,Video Camera wV-477,2,295.87,"An essential electronic device for modern needs, this Video blends style with functionality.",341,46
7747,Drone NA-476,3,740.59,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",118,4
5157,Monitor Vq-566,6,916.11,This Monitor boasts crisp visuals and vibrant colors for both gaming and professional tasks.,0,9
8769,Portable Speaker tg-426,6,192.04,"An essential electronic device for modern needs, this Portable blends style with functionality.",30,6
4537,Video Camera rh-537,6,641.1,"An essential electronic device for modern needs, this Video blends style with functionality.",489,4
8854,Fitness Tracker fC-948,3,365.99,"An essential electronic device for modern needs, this Fitness blends style with functionality.",449,42
3449,Video Camera Qs-866,7,103.22,"An essential electronic device for modern needs, this Video blends style with functionality.",487,83
5531,Portable Speaker mM-216,4,1023.65,"An essential electronic device for modern needs, this Portable blends style with functionality.",485,44
5549,Camera IQ-639,8,360.98,This Camera captures professional-quality photos and videos with its advanced sensors and intuitive controls.,76,73
7453,Microphone JY-559,5,1298.95,"This Microphone captures clear and crisp audio, ideal for podcasting and recording.",483,72
2508,Headphones Av-131,6,579.92,This Headphones features noise-cancellation technology and high-fidelity sound for an exceptional audio experience.,228,2
2066,Keyboard gO-013,5,1364.6,This Keyboard enhances your typing with responsive keys and customizable macros.,155,42
9854,Drone og-937,4,716.26,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",304,22
6302,Drone FC-067,5,1175.16,"This Drone takes to the skies with ease, capturing stunning aerial footage with its built-in camera.",385,17
8134,Fitness Tracker wG-968,2,142.15,"An essential electronic device for modern needs, this Fitness blends style with functionality.",314,64
1893,Keyboard pD-610,1,705.31,This Keyboard enhances your typing with responsive keys and customizable macros.,60,9
1043,Fitness Tracker HZ-977,6,1360.73,"An essential electronic device for modern needs, this Fitness blends style with functionality.",246,22
5026,Game Console AX-119,6,753.2,"An essential electronic device for modern needs, this Game blends style with functionality.",361,68
2865,Headphones Fw-514,3,217.48,This Headphones features noise-cancellation technology and high-fidelity sound for an exceptional audio experience.,164,84
4518,Portable Speaker qv-188,7,315.01,"An essential electronic device for modern needs, this Portable blends style with functionality.",326,7
5962,Microphone zo-411,6,207.05,"This Microphone captures clear and crisp audio, ideal for podcasting and recording.",188,48
