Unnamed: 0,ProductID,Name,CategoryID,Price,Description,StockLevel,SupplierID
0,7174,Smartphones 58S,1,223.3,"The Smartphones 58S, a top choice in Smartphones, features state-of-the-art technology for peak performance. Ideal for both everyday and professional use.",135,44
1,6687,Wearable Technology BJB,7,805.97,"The Wearable Technology BJB, a top choice in Wearable Technology, features energy-efficient operation. Ideal for both everyday and professional use.",13,34
2,3246,TVs YNS,4,1464.29,"The TVs YNS, a top choice in TVs, features unmatched durability and reliability. Ideal for both everyday and professional use.",385,33
3,8076,Smartphones SCX,1,655.6,"The Smartphones SCX, a top choice in Smartphones, features state-of-the-art technology for peak performance. Ideal for both everyday and professional use.",205,26
4,3952,Computers 6SZ,2,790.0,"The Computers 6SZ, a top choice in Computers, features a sleek and modern design. Ideal for both everyday and professional use.",233,25
5,584,Smartphones 1OE,1,1194.22,"The Smartphones 1OE, a top choice in Smartphones, features user-friendly interface and features. Ideal for both everyday and professional use.",161,14
6,3962,TVs V0R,4,582.1,"The TVs V0R, a top choice in TVs, features a sleek and modern design. Ideal for both everyday and professional use.",320,96
7,8762,Smartphones AOM,1,1070.52,"The Smartphones AOM, a top choice in Smartphones, features excellent value for the price. Ideal for both everyday and professional use.",86,1
8,6832,Drones CNU,8,1094.28,"The Drones CNU, a top choice in Drones, features unmatched durability and reliability. Ideal for both everyday and professional use.",425,73
9,5704,Computers P8W,2,590.77,"The Computers P8W, a top choice in Computers, features a sleek and modern design. Ideal for both everyday and professional use.",12,86
10,4766,TVs ERU,4,143.42,"The TVs ERU, a top choice in TVs, features a sleek and modern design. Ideal for both everyday and professional use.",245,94
11,9436,Smartphones 2VX,1,344.19,"The Smartphones 2VX, a top choice in Smartphones, features energy-efficient operation. Ideal for both everyday and professional use.",417,34
12,8746,Drones 4TL,8,236.28,"The Drones 4TL, a top choice in Drones, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",77,39
13,6970,TVs 5VG,4,1322.29,"The TVs 5VG, a top choice in TVs, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",147,47
14,2949,Smartphones GE8,1,1392.35,"The Smartphones GE8, a top choice in Smartphones, features unmatched durability and reliability. Ideal for both everyday and professional use.",26,67
15,4500,Gaming Consoles EL9,5,748.89,"The Gaming Consoles EL9, a top choice in Gaming Consoles, features a sleek and modern design. Ideal for both everyday and professional use.",341,1
16,2226,Smartphones G7B,1,1315.98,"The Smartphones G7B, a top choice in Smartphones, features energy-efficient operation. Ideal for both everyday and professional use.",345,22
17,8188,Smartphones CNE,1,267.66,"The Smartphones CNE, a top choice in Smartphones, features energy-efficient operation. Ideal for both everyday and professional use.",375,95
18,485,Drones IPE,8,333.43,"The Drones IPE, a top choice in Drones, features unmatched durability and reliability. Ideal for both everyday and professional use.",266,55
19,2579,Gaming Consoles 849,5,1152.56,"The Gaming Consoles 849, a top choice in Gaming Consoles, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",62,15
20,7550,Gaming Consoles B0P,5,211.52,"The Gaming Consoles B0P, a top choice in Gaming Consoles, features excellent value for the price. Ideal for both everyday and professional use.",314,68
21,4339,Smartphones 5IR,1,176.89,"The Smartphones 5IR, a top choice in Smartphones, features user-friendly interface and features. Ideal for both everyday and professional use.",276,21
22,3090,Drones 2DR,8,130.39,"The Drones 2DR, a top choice in Drones, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",30,87
23,793,Gaming Consoles GO3,5,1396.95,"The Gaming Consoles GO3, a top choice in Gaming Consoles, features premium build quality. Ideal for both everyday and professional use.",107,72
24,8862,Drones 896,8,219.82,"The Drones 896, a top choice in Drones, features premium build quality. Ideal for both everyday and professional use.",111,15
25,4969,Gaming Consoles 0CO,5,889.71,"The Gaming Consoles 0CO, a top choice in Gaming Consoles, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",483,78
26,7774,TVs YM9,4,1078.55,"The TVs YM9, a top choice in TVs, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",396,49
27,2427,TVs F7Y,4,1322.63,"The TVs F7Y, a top choice in TVs, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",268,26
28,6766,Computers N6Q,2,1327.85,"The Computers N6Q, a top choice in Computers, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",498,25
29,6070,Smartphones RDH,1,1154.63,"The Smartphones RDH, a top choice in Smartphones, features a sleek and modern design. Ideal for both everyday and professional use.",68,68
30,1756,Gaming Consoles NIG,5,705.37,"The Gaming Consoles NIG, a top choice in Gaming Consoles, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",286,73
31,1512,TVs VO1,4,950.25,"The TVs VO1, a top choice in TVs, features a sleek and modern design. Ideal for both everyday and professional use.",334,91
32,7883,Gaming Consoles XER,5,1179.77,"The Gaming Consoles XER, a top choice in Gaming Consoles, features user-friendly interface and features. Ideal for both everyday and professional use.",217,86
33,1871,TVs 26M,4,966.19,"The TVs 26M, a top choice in TVs, features state-of-the-art technology for peak performance. Ideal for both everyday and professional use.",200,66
34,217,TVs 7I6,4,101.36,"The TVs 7I6, a top choice in TVs, features unmatched durability and reliability. Ideal for both everyday and professional use.",194,18
35,3966,TVs 1S9,4,1442.35,"The TVs 1S9, a top choice in TVs, features a sleek and modern design. Ideal for both everyday and professional use.",186,82
36,8463,Gaming Consoles K7W,5,295.87,"The Gaming Consoles K7W, a top choice in Gaming Consoles, features a sleek and modern design. Ideal for both everyday and professional use.",341,46
37,7747,Wearable Technology N40,7,740.59,"The Wearable Technology N40, a top choice in Wearable Technology, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",118,4
38,5157,TVs XPA,4,916.11,"The TVs XPA, a top choice in TVs, features cutting-edge features for the modern user. Ideal for both everyday and professional use.",0,9
39,8769,Gaming Consoles PJ5,5,192.04,"The Gaming Consoles PJ5, a top choice in Gaming Consoles, features user-friendly interface and features. Ideal for both everyday and professional use.",30,6
40,4537,Smartphones UJK,1,641.1,"The Smartphones UJK, a top choice in Smartphones, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",489,4
41,8854,Smartphones DG1,1,365.99,"The Smartphones DG1, a top choice in Smartphones, features a sleek and modern design. Ideal for both everyday and professional use.",449,42
42,3449,Smartphones F7H,1,103.22,"The Smartphones F7H, a top choice in Smartphones, features energy-efficient operation. Ideal for both everyday and professional use.",487,83
43,5531,Smartphones LPL,1,1023.65,"The Smartphones LPL, a top choice in Smartphones, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",485,44
44,5549,Smartphones D4V,1,360.98,"The Smartphones D4V, a top choice in Smartphones, features a sleek and modern design. Ideal for both everyday and professional use.",76,73
45,7453,Gaming Consoles AWT,5,1298.95,"The Gaming Consoles AWT, a top choice in Gaming Consoles, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",483,72
46,2508,Gaming Consoles FFN,5,579.92,"The Gaming Consoles FFN, a top choice in Gaming Consoles, features a sleek and modern design. Ideal for both everyday and professional use.",228,2
47,2066,Gaming Consoles UUC,5,1364.6,"The Gaming Consoles UUC, a top choice in Gaming Consoles, features premium build quality. Ideal for both everyday and professional use.",155,42
48,9854,Gaming Consoles 2I1,5,716.26,"The Gaming Consoles 2I1, a top choice in Gaming Consoles, features an ergonomic design for ease of use. Ideal for both everyday and professional use.",304,22
49,6302,Smartphones N8H,1,1175.16,"The Smartphones N8H, a top choice in Smartphones, features premium build quality. Ideal for both everyday and professional use.",385,17
50,8134,Computers 3O0,2,142.15,"The Computers 3O0, a top choice in Computers, features energy-efficient operation. Ideal for both everyday and professional use.",314,64
51,1893,Gaming Consoles EHC,5,705.31,"The Gaming Consoles EHC, a top choice in Gaming Consoles, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",60,9
52,1043,Computers 40L,2,1360.73,"The Computers 40L, a top choice in Computers, features user-friendly interface and features. Ideal for both everyday and professional use.",246,22
53,5026,TVs KDT,4,753.2,"The TVs KDT, a top choice in TVs, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",361,68
54,2865,TVs 0O2,4,217.48,"The TVs 0O2, a top choice in TVs, features energy-efficient operation. Ideal for both everyday and professional use.",164,84
55,4518,TVs 4R5,4,315.01,"The TVs 4R5, a top choice in TVs, features user-friendly interface and features. Ideal for both everyday and professional use.",326,7
56,5962,Smartphones LV4,1,207.05,"The Smartphones LV4, a top choice in Smartphones, features premium build quality. Ideal for both everyday and professional use.",188,48
57,2202,Smartphones U4B,1,995.02,"The Smartphones U4B, a top choice in Smartphones, features cutting-edge features for the modern user. Ideal for both everyday and professional use.",499,38
58,5998,Smartphones PTN,1,1431.07,"The Smartphones PTN, a top choice in Smartphones, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",147,79
59,7569,TVs HWW,4,285.31,"The TVs HWW, a top choice in TVs, features premium build quality. Ideal for both everyday and professional use.",469,17
60,7566,Gaming Consoles BVZ,5,335.17,"The Gaming Consoles BVZ, a top choice in Gaming Consoles, features excellent value for the price. Ideal for both everyday and professional use.",438,67
61,4248,TVs BSI,4,525.49,"The TVs BSI, a top choice in TVs, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",458,20
62,6856,Cameras 3XQ,3,733.48,"The Cameras 3XQ, a top choice in Cameras, features state-of-the-art technology for peak performance. Ideal for both everyday and professional use.",163,68
63,2456,Gaming Consoles P88,5,741.07,"The Gaming Consoles P88, a top choice in Gaming Consoles, features portable and lightweight design for convenience. Ideal for both everyday and professional use.",304,87
64,2886,Computers ZQR,2,1362.09,"The Computers ZQR, a top choice in Computers, features a sleek and modern design. Ideal for both everyday and professional use.",84,82
65,2523,Smartphones S4U,1,58.5,"The Smartphones S4U, a top choice in Smartphones, features cutting-edge features for the modern user. Ideal for both everyday and professional use.",363,43
66,3030,Drones MNY,8,542.4,"The Drones MNY, a top choice in Drones, features state-of-the-art technology for peak performance. Ideal for both everyday and professional use.",41,91
