DiscountID,Name,Description,DiscountRate,StartDate,EndDate
234627,Stand-alone tangible portal,Significant offer hold stay care decide later.,25.59,2023-05-07,2023-07-21
450061,Universal 3rdgeneration encryption,Right set government top chance newspaper environmental number difference.,21.22,2023-08-17,2023-10-10
138449,De-engineered fault-tolerant migration,Cause computer amount their important thought student friend any world.,10.8,2023-09-12,2023-12-01
966969,Advanced systemic implementation,Data society share ask general nothing dream.,13.39,2023-10-02,2023-11-13
13103,Sharable tertiary leverage,Yourself picture skill man lawyer option positive.,6.46,2023-02-16,2023-03-13
271582,Implemented value-added secured line,Contain ago phone drug rather fall Republican seat machine can not.,20.08,2023-07-30,2023-08-30
92878,Switchable directional ability,Consumer interview court alone under operation matter sort movement book smile perhaps.,22.46,2023-02-17,2023-03-24
45654,Vision-oriented 4thgeneration adapter,Red perform girl establish power whose bar loss.,25.34,2023-03-15,2023-05-04
132947,Innovative encompassing database,Store general serious remain baby few.,11.71,2023-07-17,2023-09-22
865589,Vision-oriented uniform protocol,Main allow opportunity not memory direction.,44.71,2023-06-23,2023-08-28
754581,Right-sized web-enabled encoding,General memory operation art before design black.,29.73,2022-12-28,2023-01-03
218303,Operative fresh-thinking methodology,Ground room sort since sister reason hospital his money book all fire.,34.28,2022-12-07,2022-12-26
728627,Profit-focused impactful project,There first production ok spring conference message food but stop office.,6.15,2023-06-10,2023-07-20
491980,Advanced object-oriented benchmark,Country your high year moment environment.,48.59,2023-10-08,2023-10-24
381374,Multi-layered neutral benchmark,Home fear issue cut assume unit whether among writer now onto chance study.,37.73,2023-09-15,2023-10-07
908394,Intuitive explicit moratorium,Safe head they do power bar effort create any miss new resource garden.,24.2,2023-04-03,2023-06-26
946939,Configurable value-added installation,Material draw forward class age impact open learn chance.,42.33,2023-09-21,2023-12-13
673065,User-friendly multi-state initiative,Good campaign body about dream easy.,11.6,2023-04-07,2023-06-01
501056,Function-based secondary utilization,Research drug common its pick simple maybe bill American range think room.,23.85,2023-01-07,2023-01-18
729373,Future-proofed holistic product,Cut this example blue feel crime act fire.,39.87,2023-05-24,2023-06-22
499875,Enterprise-wide radical artificial intelligence,Run scene natural and our society seem say feel do.,47.91,2023-06-25,2023-09-09
324530,Realigned content-based toolset,Us feel without final plant father environmental.,21.48,2023-10-26,2023-12-03
415054,Centralized static toolset,Two me physical item prevent mention rate water.,43.95,2023-08-11,2023-08-24
693497,Programmable upward-trending parallelism,Study onto situation article involve citizen.,27.32,2023-10-04,2023-10-06
